"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"1241","Dashawn","Boatwright","Buck, the 400-pound Silverback","6' 0""","205 lbs.","--","Orthodox",3,1,0,NA
"1251","Dan","Bobish","","6' 2""","345 lbs.","--","Southpaw",17,9,0,NA
"1261","Mark","Bocek","","5' 8""","155 lbs.","75.0""","Orthodox",12,5,0,NA
"1271","Kyle","Bochniak","Killer B","5' 7""","145 lbs.","70.0""","Orthodox",8,5,0,NA
"1281","James","Bochnovic","","6' 4""","205 lbs.","81.0""","Orthodox",8,3,0,NA
"1291","Jeremy","Boczulak","","--","--","--","",0,2,0,NA
"1301","Tim","Boetsch","The Barbarian","6' 0""","185 lbs.","74.0""","Orthodox",21,13,0,NA
"1311","Galore","Bofando","","5' 11""","170 lbs.","72.0""","Switch",5,3,0,NA
"1321","Jay","Bogan","","--","145 lbs.","--","",6,6,0,NA
"1331","Roman","Bogatov","","5' 8""","155 lbs.","73.0""","Orthodox",10,1,0,NA
"1341","Derek","Bohi","Marshmallow","6' 4""","260 lbs.","--","",8,5,0,NA
"1351","Jerry","Bohlander","","5' 11""","199 lbs.","--","Orthodox",11,4,0,NA
"1361","Kotetsu","Boku","","5' 9""","154 lbs.","--","Orthodox",25,11,2,NA
"1371","Kyle","Bolt","","6' 2""","185 lbs.","--","",8,4,0,NA
"1381","Denys","Bondar","Psycho","5' 6""","125 lbs.","--","Orthodox",12,1,0,NA
"1391","Luc","Bondole","","6' 2""","205 lbs.","--","",5,2,2,NA
"1401","Tony","Bonello","The Gun","6' 2""","185 lbs.","--","",16,3,1,NA
"1411","Jesse","Bongfeldt","Water","6' 0""","185 lbs.","--","Orthodox",16,5,1,NA
"1421","Marcos","Bonilla","Murder Marx","5' 10""","145 lbs.","--","",4,4,0,NA
"1431","Stephan","Bonnar","The American Psycho","6' 4""","205 lbs.","79.0""","Orthodox",15,9,0,NA
"1441","Rogerio","Bontorin","","5' 5""","125 lbs.","67.0""","Orthodox",16,3,0,NA
"1451","Ray","Borg","The Tazmexican Devil","5' 4""","135 lbs.","63.0""","Orthodox",13,5,0,NA
"1461","Igor","Borisov","","6' 0""","235 lbs.","--","Orthodox",1,1,0,NA
"1471","Calen","Born","","5' 8""","170 lbs.","72.0""","Switch",7,1,0,NA
"1481","Tanner","Boser","The Bulldozer","6' 2""","255 lbs.","75.0""","Orthodox",19,7,1,NA
"1491","Steve","Bosse","The Boss","5' 11""","205 lbs.","72.0""","Orthodox",12,2,0,NA
"1501","Marcus","Bossett","The Grasshopper","6' 1""","215 lbs.","--","Orthodox",1,3,0,NA
"1511","Chris","Bostick","","--","--","--","",6,3,0,NA
"1521","Poliana","Botelho","","5' 8""","115 lbs.","67.0""","Orthodox",8,3,0,NA
"1531","Francois","Botha","White Buffalo","6' 2""","260 lbs.","--","Orthodox",0,1,0,NA
"1541","Gregory","Bouchelaghem","","6' 2""","183 lbs.","--","Switch",5,4,0,NA
"1551","Roy","Boughton","Black Dynamite","6' 0""","205 lbs.","--","",14,8,0,NA
"1561","Rich","Bouphanouvong","","5' 7""","170 lbs.","--","",1,4,0,NA
"1571","Mike","Bourke","The Rhino","6' 0""","275 lbs.","--","Orthodox",10,16,1,NA
"1581","Jess","Bouscal","","--","155 lbs.","--","",3,2,0,NA
"1591","Tai","Bowden","","5' 11""","230 lbs.","--","",1,1,0,NA
"1601","Melton","Bowen","The Punisher","6' 0""","225 lbs.","--","Orthodox",0,1,0,NA
"1611","Kyron","Bowen","Bullseye","6' 3""","185 lbs.","73.0""","Orthodox",9,5,0,NA
"1621","Brian","Bowles","","5' 7""","135 lbs.","70.0""","Orthodox",10,3,0,NA
"1631","Roger","Bowling","Relentless","5' 9""","155 lbs.","68.0""","Orthodox",12,6,0,NA
"1641","Blake","Bowman","","6' 2""","170 lbs.","--","",2,6,0,NA
"1651","Ashe","Bowman","The Archer","5' 9""","155 lbs.","--","",9,11,0,NA
"1661","Colley","Bradford","","5' 7""","145 lbs.","--","",0,1,0,NA
"1671","Kyle","Bradley","","5' 9""","155 lbs.","71.0""","Orthodox",19,12,0,NA
"1681","Paul","Bradley","The Gentleman","5' 9""","170 lbs.","--","Orthodox",23,8,0,NA
"1691","Sean","Brady","","5' 10""","170 lbs.","72.0""","Orthodox",14,0,0,NA
"1701","Ebenezer Fontes","Braga","Pitbull","6' 0""","199 lbs.","--","Orthodox",13,7,2,NA
"1711","Ramiz","Brahimaj","","5' 10""","170 lbs.","72.0""","Orthodox",8,3,0,NA
"1721","Joe","Brammer","The South Side Strangler","5' 8""","155 lbs.","--","Orthodox",7,3,1,NA
"1731","David","Branch","","6' 1""","185 lbs.","78.0""","Orthodox",22,6,0,NA
"1741","Diego","Brandao","DB","5' 7""","145 lbs.","64.0""","Orthodox",22,11,0,NA
"1751","Michael","Bravo","","--","155 lbs.","--","",7,4,0,NA
"1761","Martin","Bravo","El Toro","5' 8""","145 lbs.","71.0""","Southpaw",11,3,0,NA
"177","Mike","Breeden","Money","5' 10""","155 lbs.","70.0""","Orthodox",8,3,0,NA
"178","Tom","Breese","","6' 3""","185 lbs.","73.0""","Southpaw",12,3,0,NA
"179","Chris","Brennan","The Westside Strangler","5' 8""","170 lbs.","--","Orthodox",21,13,1,NA
"180","Charlie","Brenneman","The Spaniard","5' 10""","155 lbs.","70.0""","Orthodox",19,8,0,NA
"181","Robert","Breslin","The Bullet","5' 11""","155 lbs.","--","",3,9,0,NA
"182","Mack","Brewer","","--","205 lbs.","--","",0,1,0,NA
"183","Marcos","Brigagao","Ironside","6' 3""","205 lbs.","76.0""","Southpaw",11,1,0,NA
"184","Jason","Brilz","Hitman","5' 11""","205 lbs.","71.0""","Orthodox",22,6,1,NA
"185","Marcus","Brimage","The Bama Beast","5' 4""","135 lbs.","71.0""","Southpaw",7,7,0,NA
"186","Aaron","Brink","","6' 3""","205 lbs.","--","Orthodox",26,26,0,NA
"187","Henry","Briones","Bure","5' 8""","135 lbs.","69.0""","Orthodox",16,8,1,NA
"188","Marcelo","Brito","Jungle Boy","6' 1""","170 lbs.","--","Orthodox",13,8,0,NA
"189","Antwain","Britt","The Juggernaut","6' 1""","205 lbs.","77.0""","",11,6,0,NA
"190","Drew","Brokenshire","","--","--","--","",16,6,0,NA
"191","Mike","Bronzoulis","The Greek","6' 0""","155 lbs.","--","",18,9,1,NA
"192","Jonathan","Brookins","","6' 0""","145 lbs.","74.0""","Southpaw",16,10,0,NA
"193","Will","Brooks","Ill","5' 10""","155 lbs.","72.0""","Orthodox",18,4,0,NA
"194","Jarred","Brooks","The Monkey God","5' 3""","125 lbs.","62.0""","Switch",13,2,0,NA
"195","Rob","Broughton","The Bear","6' 2""","265 lbs.","74.0""","Orthodox",16,7,1,NA
"196","Lee","Brousseau","Manimal","6' 1""","205 lbs.","--","",5,3,0,NA
"197","Matt","Brown","The Immortal","6' 0""","170 lbs.","75.0""","Orthodox",24,18,0,NA
"198","Mike","Brown","","5' 6""","145 lbs.","70.0""","Orthodox",26,9,0,NA
"199","Dominic","Brown","","5' 11""","190 lbs.","--","",16,23,0,NA
"200","Todd","Brown","Bulldog","5' 11""","205 lbs.","--","Orthodox",16,4,0,NA
"201","Terrell","Brown","","--","185 lbs.","--","",3,1,0,NA
"202","Chris","Brown","","--","170 lbs.","--","",10,1,0,NA
"203","Frederick","Brown","","6' 0""","235 lbs.","--","",3,2,0,NA
"204","Randy","Brown","Rudeboy","6' 3""","170 lbs.","78.0""","Orthodox",12,4,0,NA
"205","Damien","Brown","Beatdown","5' 10""","155 lbs.","68.0""","Orthodox",17,12,0,NA
"206","TJ","Brown","Downtown","5' 9""","145 lbs.","72.0""","Switch",14,8,0,NA
"207","Humberto","Brown Morrison","","5' 10""","145 lbs.","--","",4,6,0,NA
"208","Travis","Browne","Hapa","6' 6""","255 lbs.","79.0""","Orthodox",18,7,1,NA
"209","Junie","Browning","","5' 9""","155 lbs.","--","Orthodox",5,6,0,NA
"210","Jules","Bruchez","","6' 0""","205 lbs.","--","Southpaw",1,2,0,NA
"211","Justin","Bruckmann","Loaf","5' 9""","170 lbs.","--","Orthodox",7,3,0,NA
"212","Cody","Brundage","","6' 0""","205 lbs.","72.0""","Orthodox",5,1,0,NA
"213","Steve","Bruno","Hollywood","5' 10""","170 lbs.","--","Orthodox",15,6,0,NA
"214","Fernando","Bruno","Acougueiro","5' 6""","145 lbs.","--","",15,4,0,NA
"215","Derek","Brunson","","6' 1""","185 lbs.","77.0""","Southpaw",21,7,0,NA
"216","Josh","Bryant","The Beast","5' 10""","185 lbs.","--","Orthodox",15,4,0,NA
"217","Dennis","Bryant","The Beard","6' 0""","205 lbs.","--","Orthodox",5,2,0,NA
"218","Justin","Buchholz","","6' 0""","155 lbs.","73.0""","Orthodox",15,10,0,NA
"219","Zak","Bucia","","5' 10""","170 lbs.","--","",17,8,0,NA
"220","Courtney","Buck","","5' 10""","135 lbs.","--","Orthodox",12,11,0,NA
"221","Joaquin","Buckley","New Mansa","5' 10""","185 lbs.","76.0""","Southpaw",12,4,0,NA
"222","Julia","Budd","","5' 7""","145 lbs.","67.0""","",10,2,0,NA
"223","Mike","Budnik","","5' 9""","145 lbs.","68.0""","Orthodox",13,4,0,NA
"224","Francisco","Bueno","","5' 9""","225 lbs.","--","Orthodox",5,2,0,NA
"225","Mayra","Bueno Silva","Sheetara","5' 6""","135 lbs.","66.0""","Orthodox",7,1,1,NA
"226","Paul","Buentello","The Headhunter","6' 2""","245 lbs.","77.0""","Orthodox",35,17,0,NA
"227","Modestas","Bukauskas","The Baltic Gladiator","6' 3""","205 lbs.","78.0""","Switch",11,3,0,NA
"228","Lee Kwan","Bum","","6' 2""","286 lbs.","--","Orthodox",0,1,0,NA
"229","Josh","Bumgarner","","6' 1""","170 lbs.","--","",6,4,0,NA
"230","Shawn","Bunch","Bunch the Great","5' 5""","135 lbs.","--","",7,3,0,NA
"231","Wuliji","Buren","Beast Master","5' 9""","135 lbs.","69.0""","Orthodox",9,6,0,NA
"232","Shane","Burgos","Hurricane","5' 11""","145 lbs.","75.0""","Orthodox",13,2,0,NA
"233","Joshua","Burkman","The People's Warrior","5' 10""","170 lbs.","72.0""","Orthodox",28,16,0,NA
"234","Mads","Burnell","","5' 8""","145 lbs.","69.0""","Orthodox",9,3,0,NA
"235","Mikey","Burnett","The Eastside Assassin","5' 6""","170 lbs.","--","Orthodox",5,2,0,NA
"236","Kevin","Burns","The Fire","5' 10""","170 lbs.","74.0""","Orthodox",12,7,0,NA
"237","Gilbert","Burns","Durinho","5' 10""","170 lbs.","71.0""","Orthodox",19,4,0,NA
"238","Josh","Burns","The Hammer","6' 1""","244 lbs.","--","",8,10,0,NA
"239","Herbert","Burns","The Blaze","5' 9""","145 lbs.","73.0""","Orthodox",11,3,0,NA
"240","Derrick","Burnsed","","--","155 lbs.","--","",1,0,3,NA
"241","Nah-Shon","Burrell","The Rock n Rolla","5' 11""","170 lbs.","--","Orthodox",15,7,0,NA
"242","Martin","Buschkamp","","5' 9""","145 lbs.","--","Orthodox",9,0,0,NA
"243","George","Bush","","6' 1""","205 lbs.","--","",5,2,0,NA
"244","Bubba","Bush","The Fightin' Texas Aggie","6' 0""","185 lbs.","--","Orthodox",8,3,0,NA
"245","Murilo","Bustamante","","6' 2""","183 lbs.","--","Orthodox",15,8,1,NA
"246","Nick","Bustamante","","5' 9""","170 lbs.","--","",5,3,0,NA
"247","Eduardo","Bustillos","","5' 8""","135 lbs.","--","",5,3,0,NA
"248","Jason","Butcher","","6' 3""","185 lbs.","--","",10,2,0,NA
"249","Todd","Butler","","6' 1""","200 lbs.","--","Southpaw",1,4,0,NA
"250","Goldman","Butler","","--","--","--","",1,4,0,NA
"251","Ian","Butler","","5' 8""","155 lbs.","--","",3,3,0,NA
"252","Raphael","Butler","The Silencer","6' 3""","261 lbs.","--","",9,2,1,NA
"253","JP","Buys","","5' 5""","125 lbs.","67.0""","Orthodox",9,2,0,NA
"254","Cheyanne","Buys","","5' 3""","115 lbs.","63.0""","Switch",5,1,0,NA
"255","Dennis","Buzukja","The Great","5' 9""","145 lbs.","71.0""","Switch",4,2,0,NA
"256","Charles","Byrd","Kid Dynamite","5' 10""","185 lbs.","73.0""","Orthodox",10,7,0,NA
"257","Steve","Byrnes","The Sergeant","6' 0""","170 lbs.","--","Orthodox",6,1,0,NA
"258","Michael","Byrnes","","5' 11""","155 lbs.","--","",5,3,0,NA
"260","Yan","Cabral","","5' 11""","155 lbs.","73.0""","Orthodox",13,3,0,NA
"312","Alvin","Cacdac","","5' 6""","125 lbs.","--","Orthodox",18,13,0,NA
"412","Alex","Caceres","Bruce Leeroy","5' 10""","145 lbs.","73.0""","Southpaw",18,12,0,NA
"512","Vince","Cachero","The Anomaly","5' 6""","145 lbs.","68.0""","Orthodox",7,4,0,NA
"612","Priscila","Cachoeira","Zombie Girl","5' 7""","135 lbs.","65.0""","Orthodox",9,3,0,NA
"712","Travis","Calanoc","The Dark Knight","5' 8""","145 lbs.","--","Orthodox",5,1,0,NA
"812","Ricky","Calatayud","","5' 9""","125 lbs.","--","",16,2,0,NA
"912","Joanne","Calderwood","JoJo","5' 6""","125 lbs.","65.0""","Orthodox",15,5,0,NA
"1012","Darrion","Caldwell","The Wolf","5' 10""","135 lbs.","--","",10,1,0,NA
"1112","Taylor","Callens","","5' 10""","155 lbs.","--","",6,0,0,NA
"1212","Cynthia","Calvillo","","5' 4""","125 lbs.","64.0""","Orthodox",9,2,1,NA
"1312","Joe","Camacho","","5' 9""","155 lbs.","--","Orthodox",13,19,3,NA
"1412","Frank","Camacho","The Crank","5' 10""","170 lbs.","73.0""","Orthodox",22,9,0,NA
"1512","Fabricio","Camoes","Morango","5' 10""","155 lbs.","71.0""","Orthodox",14,9,1,NA
"1612","Chris","Camozzi","","6' 2""","185 lbs.","75.0""","Orthodox",24,13,0,NA
"1712","Brian","Camozzi","Mantis","6' 2""","170 lbs.","78.0""","Orthodox",7,5,0,NA
"1811","Mike","Campbell","The Beast","5' 9""","155 lbs.","--","Southpaw",13,4,0,NA
"1911","Thomas","Campbell","","--","--","--","",3,3,0,NA
"2011","Shane","Campbell","Shaolin","6' 0""","155 lbs.","71.0""","Orthodox",14,6,0,NA
"2111","John","Campetella","","5' 9""","235 lbs.","--","Orthodox",0,1,0,NA
"2211","Wagner","Campos","Galeto","5' 6""","145 lbs.","--","Southpaw",12,10,0,NA
"2311","Derek","Campos","The Stallion","5' 9""","155 lbs.","--","",19,6,0,NA
"2411","Will","Campuzano","","5' 9""","125 lbs.","70.0""","Orthodox",14,6,0,NA
"2511","Aleksa","Camur","","6' 1""","205 lbs.","74.0""","Orthodox",6,1,0,NA
"262","Chico","Camus","The King","5' 6""","125 lbs.","66.0""","Orthodox",17,7,0,NA
"272","Asbel","Cancio","","5' 10""","225 lbs.","--","",0,1,0,NA
"282","Carlos","Candelario","The Cannon","5' 8""","125 lbs.","67.0""","Southpaw",6,0,0,NA
"292","Ronaldo","Candido","Pacman","5' 6""","125 lbs.","--","Southpaw",6,0,0,NA
"302","Luiz","Cane","Banha","6' 2""","185 lbs.","77.0""","Southpaw",17,7,0,NA
"313","Guido","Cannetti","Ninja","5' 6""","135 lbs.","68.0""","Southpaw",8,6,0,NA
"322","Jared","Cannonier","The Killa Gorilla","5' 11""","185 lbs.","77.0""","Switch",13,5,0,NA
"332","Jose","Canseco","","6' 4""","240 lbs.","--","Orthodox",0,1,0,NA
"342","Cody","Canterbury","","5' 8""","155 lbs.","--","",1,10,0,NA
"352","Bo","Cantrell","Redrum","6' 2""","235 lbs.","--","Orthodox",10,10,0,NA
"362","Steve","Cantwell","The Robot","6' 2""","185 lbs.","75.0""","Orthodox",7,6,0,NA
"372","Phil","Caracappa","The Hitman","5' 8""","135 lbs.","70.0""","Orthodox",6,1,0,NA
"382","Frank","Caracci","","--","--","--","",2,3,0,NA
"392","Gina","Carano","Conviction","5' 8""","145 lbs.","--","Orthodox",7,1,0,NA
"402","Dos","Caras Jr.","","6' 4""","225 lbs.","--","Orthodox",9,5,0,NA
"413","Bryan","Caraway","Kid Lightning","5' 8""","135 lbs.","68.0""","Orthodox",21,9,0,NA
"422","Remo","Cardarelli","","--","135 lbs.","--","",7,5,0,NA
"432","Phil","Cardella","","5' 11""","155 lbs.","--","",8,5,0,NA
"442","Edgar","Cardenas","Kitty Katt","--","145 lbs.","--","",4,1,0,NA
"452","Chris","Cariaso","Kamikaze","5' 3""","125 lbs.","64.0""","Southpaw",17,8,0,NA
"462","Ronald","Carillo","","--","125 lbs.","--","",4,2,0,NA
"472","Rafael","Carino","","6' 8""","245 lbs.","--","Orthodox",2,1,1,NA
"482","Don","Carlo-Clauss","","--","170 lbs.","--","",10,7,0,NA
"492","Antonio","Carlos Junior","Cara de Sapato","6' 2""","185 lbs.","79.0""","Orthodox",11,5,0,NA
"502","Spike","Carlyle","Alpha Ginger","5' 8""","145 lbs.","71.0""","Switch",9,3,0,NA
"513","Francis","Carmont","Limitless","6' 3""","205 lbs.","78.0""","Orthodox",25,12,0,NA
"522","Liz","Carmouche","Girlrilla","5' 6""","125 lbs.","66.0""","Orthodox",13,7,0,NA
"532","Roan","Carneiro","Jucao","5' 11""","170 lbs.","76.0""","Orthodox",21,11,0,NA
"542","Ariane","Carnelossi","Sorriso","5' 2""","115 lbs.","61.0""","Orthodox",12,2,0,NA
"552","Luana","Carolina","Dread","5' 6""","125 lbs.","69.0""","Orthodox",6,2,0,NA
"562","Tim","Caron","The Bear","6' 1""","185 lbs.","--","Orthodox",7,1,0,NA
"572","Gabriel","Carrasco","","5' 6""","135 lbs.","--","",7,0,0,NA
"582","Cody","Carrillo","","5' 10""","155 lbs.","--","",11,16,0,NA
"592","Cain","Carrizosa","The Insane","5' 8""","155 lbs.","--","Orthodox",10,3,0,NA
"602","Roger","Carroll","The Leprechaun","5' 10""","170 lbs.","--","",16,14,0,NA
"613","Jonny","Carson","","5' 10""","155 lbs.","--","",11,7,0,NA
"622","Scott","Carson","","6' 2""","215 lbs.","--","",4,2,0,NA
"632","Shonie","Carter","Mr. International","5' 10""","170 lbs.","--","Southpaw",51,31,7,NA
"642","Bruno","Carvalho","","5' 8""","154 lbs.","--","",10,5,0,NA
"652","Antonio","Carvalho","Pato","5' 9""","145 lbs.","70.0""","Orthodox",15,6,0,NA
"662","Rafael","Carvalho","","6' 3""","185 lbs.","--","",14,1,0,NA
"672","Shane","Carwin","The Engineer","6' 2""","265 lbs.","80.0""","Orthodox",12,2,0,NA
"682","Johnny","Case","Hollywood","5' 10""","155 lbs.","72.0""","Orthodox",22,6,0,NA
"692","Kevin","Casey","King","5' 11""","185 lbs.","77.0""","Southpaw",9,5,2,NA
"702","Cortney","Casey","Cast Iron","5' 7""","135 lbs.","67.0""","Orthodox",9,8,0,NA
"713","Brandon","Cash","Money","6' 5""","255 lbs.","--","Orthodox",10,4,0,NA
"722","Bendy","Casimir","","5' 5""","145 lbs.","--","Southpaw",20,14,2,NA
"732","Dwayne","Cason","","5' 10""","212 lbs.","--","Orthodox",1,1,0,NA
"742","Joe","Cason","","6' 3""","205 lbs.","--","",9,1,0,NA
"752","John","Castaneda","Sexy Mexi","5' 6""","135 lbs.","71.0""","Switch",18,5,0,NA
"762","Eric","Castile","","5' 8""","145 lbs.","--","",3,2,0,NA
"772","Gil","Castillo","","5' 9""","170 lbs.","--","Southpaw",8,5,0,NA
"782","Danny","Castillo","Last Call","5' 9""","155 lbs.","71.0""","Orthodox",17,10,0,NA
"792","Raul","Castillo","","5' 11""","185 lbs.","--","Orthodox",7,1,0,NA
"802","Jenna","Castillo","","5' 2""","125 lbs.","--","",1,0,0,NA
"813","Tim","Catalfo","Obake","5' 11""","235 lbs.","--","Orthodox",4,2,0,NA
"822","Nick","Catone","The Jersey Devil","6' 0""","185 lbs.","72.0""","Southpaw",10,4,0,NA
"832","Luke","Caudillo","Lil' Hulk","5' 7""","155 lbs.","--","Orthodox",17,17,0,NA
"842","Gesias","Cavalcante","JZ","5' 8""","155 lbs.","71.0""","Orthodox",21,10,1,NA
"852","Rafael","Cavalcante","Feijao","6' 1""","205 lbs.","74.0""","Orthodox",12,7,0,NA
"862","Magnus","Cedenblad","Jycken","6' 5""","185 lbs.","79.0""","Orthodox",14,5,0,NA
"872","Yosdenis","Cedeno","Pink Panther","5' 8""","155 lbs.","69.0""","Orthodox",10,6,1,NA
"882","Henry","Cejudo","The Messenger","5' 4""","135 lbs.","64.0""","Orthodox",16,2,0,NA
"892","Adam","Cella","El Naturel","6' 2""","170 lbs.","--","",6,8,0,NA
"902","Donald","Cerrone","Cowboy","6' 1""","155 lbs.","73.0""","Orthodox",36,15,0,NA
"913","Jared","Chaffee","","5' 10""","155 lbs.","--","",5,2,0,NA
"922","Luan","Chagas","Tarzan","6' 0""","170 lbs.","75.0""","Orthodox",15,3,1,NA
"932","Ansar","Chalangov","","5' 9""","170 lbs.","--","Orthodox",14,5,0,NA
"942","Alex","Chambers","Astro Girl","5' 3""","115 lbs.","63.0""","Southpaw",5,5,0,NA
"952","Michael","Chandler","Iron","5' 8""","155 lbs.","71.0""","Orthodox",22,5,0,NA
"962","Donnie","Chappell","","5' 11""","178 lbs.","--","Southpaw",0,1,0,NA
"972","Joe","Charles","The Ghetto Man","6' 1""","260 lbs.","--","Southpaw",6,13,0,NA
"982","Dan","Charles","The Man","6' 2""","228 lbs.","--","",10,6,1,NA
"992","Ernest","Chavez","EJ","5' 8""","145 lbs.","70.0""","Orthodox",10,2,0,NA
"1002","Emilio","Chavez","","5' 9""","145 lbs.","--","",12,9,0,NA
"1013","Danny","Chavez","The Colombian Warrior","5' 8""","145 lbs.","67.0""","Orthodox",11,4,0,NA
"1022","Gabriel","Checco","Zangief","6' 1""","185 lbs.","--","Switch",10,2,0,NA
"1032","Albert","Cheng","","5' 11""","170 lbs.","--","Orthodox",7,4,0,NA
"1042","Fabio","Cherant","","6' 1""","205 lbs.","--","Southpaw",4,1,0,NA
"1052","Ion","Cherdivara","","--","205 lbs.","--","",1,1,0,NA
"1062","Mark","Cherico","The Pride of Bloomfield","5' 7""","145 lbs.","69.0""","Orthodox",11,1,0,NA
"1072","Macy","Chiasson","","5' 11""","135 lbs.","72.0""","Orthodox",7,1,0,NA
"1082","Michael","Chiesa","Maverick","6' 1""","170 lbs.","75.0""","Southpaw",18,4,0,NA
"1092","Giga","Chikadze","","6' 0""","145 lbs.","74.0""","Orthodox",12,2,0,NA
"1102","Khamzat","Chimaev","Borz","6' 2""","170 lbs.","75.0""","Orthodox",9,0,0,NA
"1113","Sako","Chivitchian","","5' 11""","155 lbs.","--","",8,1,0,NA
"1122","Mu Bae","Choi","","6' 2""","230 lbs.","--","Orthodox",12,6,0,NA
"1132","Hong Man","Choi","Techno Goliath","7' 2""","330 lbs.","--","Orthodox",4,5,0,NA
"1142","Dooho","Choi","The Korean Superboy","5' 10""","145 lbs.","70.0""","Orthodox",14,4,0,NA
"1152","SeungWoo","Choi","Sting","6' 0""","145 lbs.","74.0""","Orthodox",9,3,0,NA
"1162","John","Cholish","","5' 11""","155 lbs.","74.0""","Orthodox",8,3,0,NA
"1172","Ryo","Chonan","Piranah","5' 9""","170 lbs.","70.0""","Orthodox",22,13,0,NA
"1182","Katlyn","Chookagian","Blonde Fighter","5' 9""","125 lbs.","68.0""","Orthodox",15,4,0,NA
"1192","Will","Chope","The Kill","6' 4""","145 lbs.","--","Switch",34,13,0,NA
"1202","Joachim","Christensen","","6' 3""","205 lbs.","76.0""","Orthodox",14,6,0,NA
"1213","Dan","Christison","The Sandman","6' 8""","265 lbs.","--","Orthodox",20,7,0,NA
"1222","Anthony","Christodoulou","","5' 9""","155 lbs.","--","Orthodox",12,7,0,NA
"1232","Murad","Chunkaiev","","5' 11""","185 lbs.","--","Orthodox",8,4,0,NA
"1242","Cameron","Church","","5' 11""","155 lbs.","72.0""","Orthodox",4,1,0,NA
"1252","Steven","Ciaccio","Stryker","6' 0""","170 lbs.","--","",4,4,0,NA
"1262","Mike","Ciesnolevicz","","6' 0""","235 lbs.","--","Orthodox",19,4,0,NA
"1272","Hannah","Cifers","Shockwave","5' 1""","115 lbs.","62.0""","Orthodox",10,7,0,NA
"1282","Branko","Cikatic","","6' 1""","215 lbs.","--","Orthodox",0,2,0,NA
"1292","Nikolajus","Cilkinas","","--","--","--","Orthodox",2,6,0,NA
"1302","Misha","Cirkunov","","6' 3""","205 lbs.","77.0""","Orthodox",15,5,0,NA
"1313","Johnny","Cisneros","The Tattooed Terror","5' 11""","170 lbs.","--","",9,6,0,NA
"1322","Laverne","Clark","","5' 11""","170 lbs.","--","Orthodox",27,21,1,NA
"1332","Logan","Clark","","6' 2""","185 lbs.","--","Orthodox",18,6,0,NA
"1342","Mychal","Clark","","6' 3""","224 lbs.","--","Orthodox",10,14,0,NA
"1352","Dominic","Clark","","5' 10""","155 lbs.","--","",10,7,0,NA
"1362","Heather","Clark","Hurricane","5' 6""","115 lbs.","64.0""","Orthodox",7,6,0,NA
"1372","Devin","Clark","Brown Bear","6' 0""","205 lbs.","75.0""","Orthodox",12,5,0,NA
